employee,firm,threshold,initiator
0,7,0.2341233836731456,False
1,7,0.11339591177041998,False
2,4,0.19881844662121884,False
3,4,0.21245401375890555,False
4,1,0.13938546424733886,False
5,0,0.1779167367512353,False
6,1,0.20438378780038677,False
7,5,0.25162284187813494,True
8,0,0.15456523212762835,False
9,2,0.14583711891158269,False
10,1,0.10093728600874942,False
11,3,0.157943351180925,False
12,0,0.23611982964127987,False
13,5,0.25099174104942346,False
14,7,0.21632670815691168,False
15,4,0.14671804723105178,False
16,0,0.2548693712489189,False
17,4,0.1462757837133714,False
18,4,0.22782317925230794,False
19,5,0.10476431886577842,False
20,6,0.1637751801110481,False
21,6,0.10390067219629326,False
22,5,0.218547873588131,False
23,4,0.2466158900943774,False
24,3,0.2486471126379543,False
25,3,0.21540438524183192,False
26,2,0.19183883819029154,False
27,5,0.19233846540687977,False
28,3,0.23156248908847538,False
29,1,0.25657275467114277,False
30,4,0.1206188211741613,False
31,6,0.12626883221469185,False
32,4,0.23707663447720861,False
33,4,0.1505128238819602,False
34,7,0.23637246769034226,False
35,1,0.25224568826035476,False
36,4,0.25210776969871157,False
37,2,0.11689683417271118,True
38,4,0.240782420560527,False
39,0,0.1241730886396362,False
40,6,0.19951078295776933,False
41,0,0.12909709001157998,False
42,1,0.15643422383514238,False
43,1,0.1520865834646943,False
44,1,0.23871765799715733,False
45,6,0.16566992297380737,False
46,5,0.23197172173345315,False
47,1,0.22332512701071658,False
48,7,0.18017696471527336,False
49,3,0.2418877189883028,False
50,3,0.14803206885231146,False
51,6,0.20161184729938617,False
52,5,0.1378506513982086,False
53,6,0.10227476605127282,True
54,6,0.20130862946687247,False
55,3,0.18547370197062707,False
56,5,0.16162995900949031,False
57,5,0.25356955478501414,False
58,4,0.1546166814005359,False
59,0,0.22582790313670476,False
60,7,0.24976462097438584,False
61,2,0.17916222058808817,False
62,6,0.15433411985240816,False
63,1,0.16614136098206006,False
64,6,0.2280744183354067,False
65,0,0.259700804903115,False
66,7,0.17040649104636285,False
67,2,0.21268503529684663,False
68,3,0.16675973098372193,False
69,2,0.20311146364845983,True
70,3,0.11481867320827348,False
71,0,0.2331955701353663,False
72,4,0.21455294961938853,False
73,5,0.23802576194323727,False
74,3,0.22119284591695787,False
75,2,0.2429258779189507,True
76,0,0.10425497702131044,False
77,3,0.17521204335280138,False
78,5,0.1628462877851421,False
79,2,0.23931370456798268,False
80,3,0.20599347880257787,False
81,4,0.23117526201147776,False
82,4,0.12120228940695763,False
83,3,0.2236077153093743,True
84,1,0.19701492021105488,False
85,3,0.21135681776444665,False
86,0,0.17768393239775004,False
87,7,0.25895078739345984,False
88,1,0.2330748295955805,False
89,6,0.19369393908201,True
90,2,0.13198438608386404,False
91,0,0.25940972137630797,False
92,4,0.11964926026831578,False
93,2,0.12445877658900088,False
94,7,0.19502842938857567,False
95,0,0.12103061932345262,False
96,5,0.16634127729427248,False
97,6,0.20947471697122425,False
98,5,0.10337199073494482,False
99,6,0.19470892098026515,False
100,5,0.13118440434670814,False
101,1,0.11599858012397525,False
102,0,0.1386987492801141,False
103,6,0.21808948909998693,False
104,1,0.13293554568066343,False
105,2,0.2116720647296047,False
106,6,0.20870890533459333,False
107,7,0.24867465837380825,False
108,1,0.2447275877049639,True
109,6,0.2101411787367851,False
110,7,0.23748120376521414,False
111,2,0.10968423215600714,False
112,7,0.21575984235847487,False
113,7,0.23989595149209125,False
114,4,0.11296696004063284,False
115,3,0.17743983196165553,False
116,2,0.24821495360789586,False
117,7,0.14380895902571542,False
118,3,0.22797174459140773,False
119,1,0.23974010252070005,False
120,1,0.1438101364748685,False
121,3,0.19495119462227906,False
122,3,0.2571877550007823,False
123,5,0.20202513158350566,False
124,0,0.1905289938689028,False
125,3,0.2490120898592938,False
126,2,0.2173258400360843,True
127,7,0.21110182649359574,False
128,7,0.11614130490741627,True
129,1,0.17224656183772868,False
130,1,0.1868299564738689,False
131,0,0.18226466802539765,False
132,5,0.21721761543597223,False
133,2,0.24144916271162886,False
134,0,0.12149032047446032,False
135,0,0.2005350254997753,False
136,7,0.2022316159058761,True
137,6,0.18078831430885006,False
138,6,0.16284809095971453,False
139,6,0.2267300096797213,True
140,4,0.2490786348860588,False
141,0,0.13526959229443314,False
142,2,0.1487470102230315,False
143,3,0.12447586696122832,False
144,2,0.10622298473674933,False
145,5,0.22755502632199986,False
146,5,0.20121538825661067,False
147,7,0.14637110986069585,False
148,4,0.23635180387596416,False
149,6,0.17522456093597555,False
150,7,0.16618737646265636,False
151,5,0.2566135335313421,False
152,7,0.17803857367237902,False
153,1,0.1223323281744749,False
154,2,0.11335287346280082,False
155,5,0.20604798262181767,False
156,4,0.18071429166007846,False
157,2,0.25567469617287797,False
158,0,0.14425998957692363,False
159,2,0.24344062070425382,False
