seed,employee,merit,dependence,material,success_off,success_on
0,0,0.992760059691461,0.4068637130282758,False,False,False
0,1,0.42403633705529986,0.538940423438798,False,False,False
0,3,0.21223919630908938,0.20694384778006247,True,False,False
0,6,0.9052472326700784,0.8835149181532819,False,False,False
0,7,0.43136060466874526,0.4068637130282758,False,False,False
0,8,0.3960478194003253,0.4068637130282758,True,True,True
0,10,0.6438525166688605,0.8835149181532819,False,True,True
0,12,0.5273082560727348,0.538940423438798,False,False,False
0,15,0.9636525868444654,0.17485006268219494,True,False,False
0,17,0.47358953296039524,0.538940423438798,False,False,False
0,19,0.7665179959059183,0.20694384778006247,False,False,False
0,20,0.3300545909333682,0.20694384778006247,False,False,False
0,21,0.8922244628158189,0.20694384778006247,True,False,False
0,22,0.8932192284287896,0.17485006268219494,True,False,False
0,24,0.40228009063611153,0.17485006268219494,True,False,False
0,27,0.23505082056970572,0.8853926971592309,False,True,True
0,30,0.812423584071269,0.4068637130282758,False,False,False
0,31,0.9469976583411543,0.17485006268219494,True,False,False
0,35,0.24004808460833615,0.538940423438798,True,True,True
0,39,0.29980267696089175,0.17485006268219494,False,False,False
0,42,0.5181381035783981,0.8853926971592309,False,False,False
0,45,0.9062133005588473,0.4068637130282758,False,False,False
0,46,0.6022381767052344,0.8853926971592309,True,False,False
0,49,0.5966172958732835,0.8853926971592309,True,False,False
0,50,0.9418125466328746,0.538940423438798,True,True,True
0,52,0.9696043638289182,0.8835149181532819,True,False,False
0,54,0.9312490218410299,0.17485006268219494,True,False,True
0,58,0.6648866098493449,0.4068637130282758,False,True,True
0,59,0.6943385467328902,0.8853926971592309,True,False,False
0,60,0.6451244971410584,0.8853926971592309,True,False,True
0,61,0.9596398737119458,0.4068637130282758,True,True,True
0,62,0.5080031486909644,0.8835149181532819,True,True,True
0,68,0.6434450740162051,0.538940423438798,False,True,True
0,69,0.9149858922629852,0.4068637130282758,True,False,False
0,70,0.8472291736018014,0.8835149181532819,True,False,False
0,71,0.5421108680144316,0.4068637130282758,True,False,False
0,73,0.4398843340243584,0.538940423438798,False,False,False
0,75,0.38056012843572185,0.17485006268219494,True,False,False
0,76,0.6959689137536169,0.8853926971592309,True,False,False
0,77,0.2708541504726042,0.538940423438798,True,True,True
