employee,firm,incident_eligible,reachable,merit,belief_d,belief_e,cost_d,cost_e,incident_cohort,scheduled_incident,preparation_rounds
0,2,False,True,0.8698539399727516,0.3945693174806783,0.5161707738463932,0.2798105841550845,0.4622436228009629,5,-1,2
1,0,True,True,0.8902054536854775,0.28830790495000835,0.27554244235247455,0.3250303223998256,0.47474665515099007,4,24,0
2,0,False,True,0.239301142291336,0.7772183162465633,0.444282453010213,0.49159148696762395,0.4513614812408141,6,-1,0
3,3,False,True,0.5689365443056376,0.2815955888458384,0.6860033520317763,0.2656039857930816,0.4271301867301818,2,-1,1
4,3,True,True,0.5470459784598544,0.5179038486390675,0.7263228396636967,0.33710162657260034,0.42809108685781466,7,42,3
5,5,True,False,0.45477128534167505,0.43659116918411034,0.5489737858108533,0.22353330171125632,0.5236060539240106,1,6,2
6,3,True,True,0.7432900134788709,0.6650595137222131,0.45026064239291685,0.21979750876310408,0.4722835736305863,3,18,3
7,0,True,True,0.7465367480282052,0.5797977123090384,0.34277625555793684,0.2585015067102369,0.43235737932420476,2,12,2
8,4,True,True,0.8381198283931675,0.22478753385403144,0.5799665614400606,0.5315976471365776,0.3907089426655434,7,42,0
9,0,False,True,0.8822468082394073,0.40750297828421156,0.26170166215497653,0.27230488629711547,0.27843441874730307,1,-1,1
10,4,False,True,0.4270404685717938,0.6336411755035294,0.5162072328010843,0.2962741925062725,0.4903322117593118,1,-1,1
11,5,False,False,0.2532218386418936,0.27514102860963247,0.2329877885087443,0.18297208844842577,0.25563549805069125,7,-1,0
12,5,False,True,0.6312162667719676,0.6927921489623279,0.5686628569456009,0.21921443302251195,0.3943632955791439,2,-1,0
13,0,False,False,0.7675685946595219,0.5330368194104699,0.363824792233022,0.26953090143803254,0.45492325703107966,3,-1,0
14,5,False,True,0.7390030044201565,0.20913653409000255,0.7066570747289662,0.4125494036541071,0.27101145958580874,4,-1,1
15,4,True,True,0.9031534645466606,0.30043798492935614,0.6694727934678937,0.24836008920452848,0.36585032660691635,0,0,0
16,5,True,False,0.3444897561253334,0.5685956902089817,0.3149656051564844,0.32747739372824514,0.4262061261384052,5,30,2
17,0,True,True,0.3483218358637366,0.7463400871401733,0.5517645681940206,0.4718507743093118,0.23407247322742275,5,30,0
18,4,True,True,0.565910605081186,0.789595219406467,0.31610341505934425,0.38662308456640915,0.3855521631216755,5,30,0
19,5,True,True,0.4538665083047964,0.34978078940991675,0.39361924244123625,0.1922251329280092,0.20452584936404156,2,12,2
20,4,True,True,0.5576863481854355,0.374095580469812,0.6136349832555403,0.5021716703919171,0.512708417833249,7,42,2
21,4,False,True,0.8268315413482679,0.7307497862285157,0.2278168573127159,0.4835128998352114,0.40411799524863345,2,-1,0
22,1,True,True,0.814293066592382,0.2574391789553427,0.7525390979603048,0.2243001371371818,0.3774011285466735,2,12,0
23,0,True,True,0.47103926075571095,0.673768084103338,0.4719692483929704,0.39571363639985374,0.43143064802383124,4,24,2
24,0,True,True,0.987563597562557,0.7746572000524132,0.6829793311886654,0.33794819469305926,0.47027745710574065,2,12,0
25,1,False,True,0.66745987463309,0.5800610827460267,0.4644245466740378,0.42445192916698105,0.4352467149794353,4,-1,2
26,0,False,True,0.9870315141501149,0.5492206342012937,0.31272366416254394,0.4006433420225095,0.26999970473137086,3,-1,0
27,1,True,True,0.7068430872855871,0.4259676036441362,0.7144330381749335,0.35854124382406044,0.23312603317334044,6,36,0
28,5,True,True,0.4715418883503854,0.28000821427283473,0.30470514648477953,0.2647253904129989,0.3974278583786322,4,24,2
29,2,True,True,0.4019165154415846,0.462983958616908,0.25126708119605284,0.5124830084668536,0.4057916974389629,2,12,0
30,3,False,True,0.6630804752546423,0.25229961763842035,0.5130280113675108,0.32594983328934884,0.4640049958710636,1,-1,2
31,5,False,True,0.47654554099943436,0.42923468155667505,0.3180195417135664,0.2031365534880822,0.29818789358754394,5,-1,0
32,3,False,True,0.8426706841944924,0.7209873808187093,0.20954582181502562,0.36800465794603243,0.25378862029340127,5,-1,3
33,4,True,True,0.45719517919871233,0.7944531798098844,0.25761044255213345,0.32159831758114743,0.32618744961069596,1,6,1
34,4,True,True,0.5639870253826444,0.3025337314011146,0.4731331275019813,0.49975423266139396,0.31327953188268337,1,6,3
35,2,False,True,0.8439011328187529,0.2786448644127413,0.29312996756232723,0.5164017796830636,0.47637482866255093,7,-1,3
36,5,True,True,0.3306545869185116,0.6024611082725279,0.3836680873249898,0.49041939510930266,0.5028006448775686,0,0,3
37,2,True,False,0.5243724162730126,0.6966761270580661,0.34770380697920256,0.24664972726567214,0.4583312963955161,0,0,0
38,2,False,True,0.9503766687294581,0.32909757367630765,0.7145596161902722,0.43133575646269723,0.44686005468601553,2,-1,3
39,1,False,True,0.6324114819843804,0.27595475055165614,0.5982465304721192,0.48036965051183494,0.47045196826974683,5,-1,0
40,5,True,True,0.7390185525954414,0.4270559286089421,0.48198530675722817,0.4917531368279782,0.29840028866401036,1,6,1
